Starting Training
Epoch: 1/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Model 1 saved
Epoch: 2/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 3/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 4/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 5/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 6/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 7/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 8/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 9/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 10/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 11/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 12/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 13/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 14/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 15/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 16/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 17/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 18/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 19/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 20/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 21/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 22/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 23/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 24/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 25/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 26/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 27/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 28/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 29/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 30/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 31/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 32/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 33/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 34/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 35/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 36/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 37/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 38/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 39/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 40/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 41/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 42/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 43/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 44/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 45/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 46/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 47/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 48/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 49/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Model 49 saved
Epoch: 50/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 51/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 52/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 53/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 54/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 55/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 56/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 57/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 58/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 59/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 60/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 61/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 62/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 63/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 64/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 65/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 66/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 67/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 68/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 69/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 70/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 71/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 72/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 73/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 74/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 75/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 76/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 77/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 78/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 79/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 80/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 81/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 82/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 83/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 84/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 85/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 86/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 87/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 88/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 89/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 90/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 91/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 92/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 93/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 94/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 95/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 96/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 97/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 98/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 99/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 100/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 101/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 102/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 103/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 104/3000, Score: 30, Tetrominoes 22, Cleared lines: 1
Model 104 saved
